date,strategy,D_R,D_B,band_active,band_violation
2021-01-29,EW,0.03785076650316637,0.7616523529611701,0,0.0
2021-01-29,GMV,0.13780305713757263,0.18658857165452863,0,0.0
2021-01-29,CtR-only,1.0263101903625196e-07,0.08101570564964504,0,0.0
2021-01-29,MDP,0.03241402129971077,0.0009203891272391039,0,0.0
2021-01-29,CtB-only,0.032475737159507086,0.0008665971601751096,0,0.0
2021-01-29,Main,0.0045252263112810845,0.02270949114576709,1,0.0027094911457670907
2021-02-26,EW,0.03669490355607775,0.7245159178337041,0,0.0
2021-02-26,GMV,0.13825880737198756,0.18609076579608008,0,0.0
2021-02-26,CtR-only,3.480881111459321e-07,0.08243580341921723,0,0.0
2021-02-26,MDP,0.032656676184834976,0.0007465490537267138,0,0.0
2021-02-26,CtB-only,0.03249361069254255,0.0007036062589839422,0,0.0
2021-02-26,Main,0.004641057074232624,0.022689615744770443,1,0.0026896157447704426
2021-03-31,EW,0.03285904027695947,0.5755433163462264,0,0.0
2021-03-31,GMV,0.17558065381987967,0.22845820723548588,0,0.0
2021-03-31,CtR-only,3.327760715925155e-05,0.07069254967376558,0,0.0
2021-03-31,MDP,0.0321616685595269,0.0015139651641014132,0,0.0
2021-03-31,CtB-only,0.03174848162867441,0.001304431112060743,0,0.0
2021-03-31,Main,0.0038932117390631793,0.022837447874190966,1,0.002837447874190966
2021-04-30,EW,0.030054050036085203,0.4708447686380033,0,0.0
2021-04-30,GMV,0.19318289603650862,0.2407484996036892,0,0.0
2021-04-30,CtR-only,1.7205824871785282e-05,0.056940370257308144,0,0.0
2021-04-30,MDP,0.03165109950548724,0.0008431999881804173,0,0.0
2021-04-30,CtB-only,0.03200100557566311,0.0007618316700958075,0,0.0
2021-04-30,Main,0.0028575449028508974,0.02259760786442794,1,0.0025976078644279407
2021-05-28,EW,0.027792753158798693,0.4155778006431894,0,0.0
2021-05-28,GMV,0.19384872009060847,0.2369219697699375,0,0.0
2021-05-28,CtR-only,2.1764694370948205e-06,0.057168290028649295,0,0.0
2021-05-28,MDP,0.031040537223735856,0.0006325200896544963,0,0.0
2021-05-28,CtB-only,0.03160692917199813,0.0005578020419230566,0,0.0
2021-05-28,Main,0.0030345250050673508,0.02264367122356722,1,0.0026436712235672205
2021-06-30,EW,0.024342944581174218,0.326617904595459,0,0.0
2021-06-30,GMV,0.24933975770532202,0.26119359573736184,0,0.0
2021-06-30,CtR-only,3.0411178010413956e-05,0.04980483122184525,0,0.0
2021-06-30,MDP,0.03241943732193924,0.000394171897720094,0,0.0
2021-06-30,CtB-only,0.0327935569845624,0.0003368489030220503,0,0.0
2021-06-30,Main,0.0021388223454892755,0.022428316737192144,1,0.002428316737192144
2021-07-30,EW,0.024550819203733795,0.3383415665977358,0,0.0
2021-07-30,GMV,0.24660114234188543,0.25706540585383253,0,0.0
2021-07-30,CtR-only,9.65298125773859e-07,0.047925856903426725,0,0.0
2021-07-30,MDP,0.03410689834421656,0.0006609222354641269,0,0.0
2021-07-30,CtB-only,0.03479171039162606,0.0005426268593542302,0,0.0
2021-07-30,Main,0.0022073905927927104,0.022405179358873772,1,0.0024051793588737713
2021-08-31,EW,0.02492827563235691,0.3417559925593405,0,0.0
2021-08-31,GMV,0.2590176743141294,0.264999041543927,0,0.0
2021-08-31,CtR-only,1.5063688456652885e-06,0.04864973611706699,0,0.0
2021-08-31,MDP,0.03692428465124406,0.0003818974930877301,0,0.0
2021-08-31,CtB-only,0.03694258744446064,0.0003158355181429104,0,0.0
2021-08-31,Main,0.0023050979063755058,0.02250497869414624,1,0.0025049786941462385
2021-09-30,EW,0.024160512252907163,0.31348728351355487,0,0.0
2021-09-30,GMV,0.2576219314054091,0.25910819240548116,0,0.0
2021-09-30,CtR-only,4.186199306946017e-07,0.04359570717473143,0,0.0
2021-09-30,MDP,0.03069210935463128,0.0002715628475809752,0,0.0
2021-09-30,CtB-only,0.033064781305886054,0.0002177426731032051,0,0.0
2021-09-30,Main,0.0017304845482712513,0.022101484540510096,1,0.0021014845405100957
2021-10-29,EW,0.023061576393522402,0.2793179232420863,0,0.0
2021-10-29,GMV,0.2616185895685782,0.25600845778358594,0,0.0
2021-10-29,CtR-only,3.356978176868957e-07,0.03865840949361121,0,0.0
2021-10-29,MDP,0.026456983980899157,0.00010956648958765807,0,0.0
2021-10-29,CtB-only,0.028332765170394587,9.533177057680363e-05,0,0.0
2021-10-29,Main,0.0011165597524224278,0.021633547594590772,1,0.0016335475945907715
2021-11-30,EW,0.02339177221847297,0.2982630473759598,0,0.0
2021-11-30,GMV,0.2548899333169999,0.25145853729499307,0,0.0
2021-11-30,CtR-only,1.3294659875911385e-06,0.036983793149118156,0,0.0
2021-11-30,MDP,0.0318662570516368,1.1924358891265947e-05,0,0.0
2021-11-30,CtB-only,0.031180636698778588,1.6256612050785296e-05,0,0.0
2021-11-30,Main,0.0010516713889994482,0.021622697509606284,1,0.0016226975096062836
2021-12-31,EW,0.02403089453277161,0.3209536880095519,0,0.0
2021-12-31,GMV,0.2667693151434133,0.258983668473873,0,0.0
2021-12-31,CtR-only,2.0678960442275615e-06,0.03905700701222894,0,0.0
2021-12-31,MDP,0.036989543380261836,4.721961588330471e-08,0,0.0
2021-12-31,CtB-only,0.03522649292615267,1.488819299905218e-05,0,0.0
2021-12-31,Main,0.0011537977469935259,0.021852310224719153,1,0.0018523102247191524
2022-01-31,EW,0.022016858225951987,0.2846697152505843,0,0.0
2022-01-31,GMV,0.28404380496232057,0.2600000520835833,0,0.0
2022-01-31,CtR-only,4.7557678171999245e-07,0.0393970440585808,0,0.0
2022-01-31,MDP,0.04359870305778063,9.199414252560232e-07,0,0.0
2022-01-31,CtB-only,0.041954030216311396,1.3977954936858953e-05,0,0.0
2022-01-31,Main,0.001385101428638919,0.022110092090654242,1,0.002110092090654242
2022-02-28,EW,0.021348556301851066,0.24826469457640132,0,0.0
2022-02-28,GMV,0.2957189429015629,0.26412372307221693,0,0.0
2022-02-28,CtR-only,1.5291570416697608e-06,0.030371315953517632,0,0.0
2022-02-28,MDP,0.04020986474536974,0.00017857132541486653,0,0.0
2022-02-28,CtB-only,0.03827351304842305,0.0001394399571258311,0,0.0
2022-02-28,Main,0.0005399525150310009,0.021216375644422504,1,0.0012163756444225036
2022-03-31,EW,0.021162988827323797,0.21308214316605392,0,0.0
2022-03-31,GMV,0.20557793367121063,0.21794646206580146,0,0.0
2022-03-31,CtR-only,3.0313515382072905e-05,0.01961356421934883,0,0.0
2022-03-31,MDP,0.021035588791163767,2.681210742494788e-08,0,0.0
2022-03-31,CtB-only,0.021654740228315986,7.04320790982288e-05,0,0.0
2022-03-31,Main,6.887660827119243e-05,0.01897559188559938,0,0.0
2022-04-29,EW,0.020853122990370808,0.21347764251852785,0,0.0
2022-04-29,GMV,0.22841931026637535,0.23121694904683762,0,0.0
2022-04-29,CtR-only,3.471760010445024e-07,0.022063038226918998,0,0.0
2022-04-29,MDP,0.01797493447161252,0.00035022902147867547,0,0.0
2022-04-29,CtB-only,0.01775154330603166,0.00028014233961630387,0,0.0
2022-04-29,Main,1.4474361838429296e-05,0.020182712765324216,1,0.00018271276532421526
2022-05-31,EW,0.022544032190467606,0.24797084113544687,0,0.0
2022-05-31,GMV,0.2505687266961006,0.23913463674452332,0,0.0
2022-05-31,CtR-only,2.3289129487680202e-06,0.02256407300779827,0,0.0
2022-05-31,MDP,0.019287970705342782,0.000518049524877223,0,0.0
2022-05-31,CtB-only,0.018222316954192533,0.0003947131755622156,0,0.0
2022-05-31,Main,1.8923643671812026e-05,0.020241297867107606,1,0.0002412978671076059
2022-06-30,EW,0.02174554743079185,0.231150199984682,0,0.0
2022-06-30,GMV,0.30586155498242196,0.2540412727520541,0,0.0
2022-06-30,CtR-only,2.217184916071761e-06,0.030837130428353364,0,0.0
2022-06-30,MDP,0.03002881428587881,0.0007053255598432026,0,0.0
2022-06-30,CtB-only,0.026986617427815256,0.0005596833348169376,0,0.0
2022-06-30,Main,0.00042745440093716754,0.021186618094086063,1,0.0011866180940860623
2022-07-29,EW,0.019995047808788986,0.20961599375068293,0,0.0
2022-07-29,GMV,0.3267911308068423,0.2586057317368936,0,0.0
2022-07-29,CtR-only,1.5414920843069362e-06,0.03308622127994662,0,0.0
2022-07-29,MDP,0.036009673502032484,0.001022675517921066,0,0.0
2022-07-29,CtB-only,0.03379436184131239,0.0008000401932494712,0,0.0
2022-07-29,Main,0.0006695672180661829,0.02149965422315685,1,0.0014996542231568502
2022-08-31,EW,0.019446711377991793,0.2030770272254171,0,0.0
2022-08-31,GMV,0.3413346609840196,0.2641433909445565,0,0.0
2022-08-31,CtR-only,1.5369951614284835e-06,0.0372532890172015,0,0.0
2022-08-31,MDP,0.04021369559089412,0.001201041857430569,0,0.0
2022-08-31,CtB-only,0.03803979871354793,0.0009417169664580884,0,0.0
2022-08-31,Main,0.0011086137876671204,0.02193729295491571,1,0.0019372929549157092
2022-09-30,EW,0.01742868074888184,0.17186660871279066,0,0.0
2022-09-30,GMV,0.3790401563177813,0.2694472164387738,0,0.0
2022-09-30,CtR-only,4.037132022176134e-06,0.03656015399158125,0,0.0
2022-09-30,MDP,0.04477305318634081,0.0010998016425102382,0,0.0
2022-09-30,CtB-only,0.04372022252770991,0.000893470216158599,0,0.0
2022-09-30,Main,0.0011036051291302173,0.022041097144588965,1,0.0020410971445889645
2022-10-31,EW,0.017261015470071188,0.16588564017747987,0,0.0
2022-10-31,GMV,0.3988180745748951,0.27929949225176265,0,0.0
2022-10-31,CtR-only,5.028623529528747e-06,0.03862183756414563,0,0.0
2022-10-31,MDP,0.04795746813476758,0.0017291196829586693,0,0.0
2022-10-31,CtB-only,0.046744334454824725,0.0013909024951517049,0,0.0
2022-10-31,Main,0.0014002280041365907,0.02237545083289047,1,0.0023754508328904696
2022-11-30,EW,0.016243313060881406,0.15182851573115597,0,0.0
2022-11-30,GMV,0.4102419440344447,0.27565872253785123,0,0.0
2022-11-30,CtR-only,1.8970917936440595e-06,0.04225826054432472,0,0.0
2022-11-30,MDP,0.05355644508612283,0.0018153339822238918,0,0.0
2022-11-30,CtB-only,0.05266493627464793,0.0014815961692132345,0,0.0
2022-11-30,Main,0.0020341826790695452,0.02293472376293539,1,0.0029347237629353887
2022-12-30,EW,0.015453091247529428,0.1428373730043054,0,0.0
2022-12-30,GMV,0.4165106705362194,0.2735644983274219,0,0.0
2022-12-30,CtR-only,6.261140368714362e-07,0.041971464243722466,0,0.0
2022-12-30,MDP,0.05278863366203751,0.0016317413703114592,0,0.0
2022-12-30,CtB-only,0.05263002392563492,0.0013219889489588677,0,0.0
2022-12-30,Main,0.0019997916893143438,0.02278596545722158,1,0.002785965457221578
2023-01-31,EW,0.01525758591211021,0.14026710852600074,0,0.0
2023-01-31,GMV,0.4253397830859164,0.27502709040004053,0,0.0
2023-01-31,CtR-only,5.887056857613386e-07,0.042966586169503114,0,0.0
2023-01-31,MDP,0.05572155837973839,0.0019512254070872218,0,0.0
2023-01-31,CtB-only,0.05455865349257136,0.0015933204569548516,0,0.0
2023-01-31,Main,0.002224188606728021,0.023042104265818018,1,0.0030421042658180172
2023-02-28,EW,0.01438516989961666,0.1330501771839724,0,0.0
2023-02-28,GMV,0.4275659527171127,0.2738218751808611,0,0.0
2023-02-28,CtR-only,7.863532373428757e-07,0.04338585921415384,0,0.0
2023-02-28,MDP,0.05505209541231439,0.0016956176047982407,0,0.0
2023-02-28,CtB-only,0.05421468340369994,0.0013973519425156003,0,0.0
2023-02-28,Main,0.0022712808702023603,0.02302988143278587,1,0.0030298814327858713
2023-03-31,EW,0.014632699577505178,0.13642809839882444,0,0.0
2023-03-31,GMV,0.4200715940419874,0.28392924453341517,0,0.0
2023-03-31,CtR-only,6.649415178162153e-08,0.04055236086273742,0,0.0
2023-03-31,MDP,0.052228311302518225,0.003051395964424334,0,0.0
2023-03-31,CtB-only,0.0569836199514588,0.0025587325870165562,0,0.0
2023-03-31,Main,0.002248115005173148,0.02338848569976018,1,0.0033884856997601805
2023-04-28,EW,0.014553389629279715,0.13657286717443387,0,0.0
2023-04-28,GMV,0.4150933861470622,0.2800784440350539,0,0.0
2023-04-28,CtR-only,2.39278439849736e-08,0.041339028120876205,0,0.0
2023-04-28,MDP,0.052907932307753376,0.003518107448673967,0,0.0
2023-04-28,CtB-only,0.05885593160091203,0.002940904851545743,0,0.0
2023-04-28,Main,0.0025403302048896,0.023771419605516535,1,0.0037714196055165343
2023-05-31,EW,0.013103846872377868,0.1250469082572091,0,0.0
2023-05-31,GMV,0.4102663512136288,0.2779819805811095,0,0.0
2023-05-31,CtR-only,5.609996687721821e-07,0.042888604141884605,0,0.0
2023-05-31,MDP,0.053140934972161276,0.0035016873933884723,0,0.0
2023-05-31,CtB-only,0.0580278178311718,0.0029167275442714604,0,0.0
2023-05-31,Main,0.002886510340091962,0.023948833782233298,1,0.003948833782233298
2023-06-30,EW,0.012520810858372172,0.1252223871861764,0,0.0
2023-06-30,GMV,0.40471071798357955,0.2784169144225241,0,0.0
2023-06-30,CtR-only,1.5795297233161177e-07,0.03953821731516428,0,0.0
2023-06-30,MDP,0.05054250334158091,0.0030969099573754585,0,0.0
2023-06-30,CtB-only,0.05583683874303785,0.0025200442978551246,0,0.0
2023-06-30,Main,0.002336518194497601,0.023728340214441583,1,0.0037283402144415827
2023-07-31,EW,0.012092279388206461,0.11528918438475651,0,0.0
2023-07-31,GMV,0.4057807298020995,0.2775405106587284,0,0.0
2023-07-31,CtR-only,2.232730391266074e-07,0.037710264132002395,0,0.0
2023-07-31,MDP,0.04700345428490561,0.00274592777143432,0,0.0
2023-07-31,CtB-only,0.05153254496902486,0.0022443917908065653,0,0.0
2023-07-31,Main,0.001955183146704703,0.02334902281290935,1,0.003349022812909351
2023-08-31,EW,0.011879160098426387,0.11241049622847359,0,0.0
2023-08-31,GMV,0.4029603591956051,0.27124987818130486,0,0.0
2023-08-31,CtR-only,6.144696010185935e-07,0.034146786479996055,0,0.0
2023-08-31,MDP,0.045122847420579607,0.002686862243132359,0,0.0
2023-08-31,CtB-only,0.04889658914153554,0.0022131402906184,0,0.0
2023-08-31,Main,0.001406028186156486,0.02302991685454288,1,0.003029916854542878
2023-09-29,EW,0.012736904531739535,0.1260434938924421,0,0.0
2023-09-29,GMV,0.38682873501315274,0.2528061183434605,0,0.0
2023-09-29,CtR-only,1.1762593442794837e-07,0.0374295238950927,0,0.0
2023-09-29,MDP,0.0410289218787874,0.002557136798734053,0,0.0
2023-09-29,CtB-only,0.04518041901464177,0.0020761147557683485,0,0.0
2023-09-29,Main,0.0018980439360073407,0.023266953997845594,1,0.003266953997845594
2023-10-31,EW,0.011565330445106659,0.11773982208416829,0,0.0
2023-10-31,GMV,0.36862360363663443,0.22692165131007555,0,0.0
2023-10-31,CtR-only,7.503796735773689e-07,0.034944611547306666,0,0.0
2023-10-31,MDP,0.03798243416832281,0.0014113516688003373,0,0.0
2023-10-31,CtB-only,0.03897998599032747,0.0011816127264351695,0,0.0
2023-10-31,Main,0.0013283212918411527,0.022361688340554433,1,0.0023616883405544326
2023-11-30,EW,0.011269076078200749,0.10240884174373185,0,0.0
2023-11-30,GMV,0.3721017589550581,0.2632853697943102,0,0.0
2023-11-30,CtR-only,7.13630753234247e-07,0.0343895783526074,0,0.0
2023-11-30,MDP,0.033328297756173304,0.001064306856668661,0,0.0
2023-11-30,CtB-only,0.03520218982021982,0.0008360254620505305,0,0.0
2023-11-30,Main,0.001074266232304477,0.02207689680432811,1,0.0020768968043281093
2023-12-29,EW,0.01153416947686954,0.09976396747565745,0,0.0
2023-12-29,GMV,0.356714332105545,0.2351853075666549,0,0.0
2023-12-29,CtR-only,2.3472949480309237e-07,0.03926295186410627,0,0.0
2023-12-29,MDP,0.04031132243624926,0.001461940452269953,0,0.0
2023-12-29,CtB-only,0.04069101458844804,0.0011369224303620462,0,0.0
2023-12-29,Main,0.001748570955626431,0.022705482333849475,1,0.0027054823338494745
2024-01-31,EW,0.010948663341308403,0.0933522119102311,0,0.0
2024-01-31,GMV,0.3495697217612116,0.22918033056974532,0,0.0
2024-01-31,CtR-only,3.320332722582849e-08,0.03795472699959119,0,0.0
2024-01-31,MDP,0.04068910502997233,0.0013518433217340768,0,0.0
2024-01-31,CtB-only,0.04234248502494954,0.0010103937792086365,0,0.0
2024-01-31,Main,0.0016374192088931896,0.02268521005661246,1,0.002685210056612458
2024-02-29,EW,0.011635290381159812,0.09783343422565222,0,0.0
2024-02-29,GMV,0.33823781068405656,0.21106475420102172,0,0.0
2024-02-29,CtR-only,9.371293348633894e-08,0.041450194221353584,0,0.0
2024-02-29,MDP,0.04657881112204067,0.001839995634698012,0,0.0
2024-02-29,CtB-only,0.047832556196635914,0.0014582673351304061,0,0.0
2024-02-29,Main,0.002245007753774865,0.02332146453350999,1,0.0033214645335099893
2024-03-28,EW,0.011861282920474352,0.09706894501483158,0,0.0
2024-03-28,GMV,0.37717721426826417,0.23406447693340043,0,0.0
2024-03-28,CtR-only,5.577964012601537e-06,0.049802699419921076,0,0.0
2024-03-28,MDP,0.04630955002231131,0.002993378768172339,0,0.0
2024-03-28,CtB-only,0.047370825796226035,0.002579245830096363,0,0.0
2024-03-28,Main,0.003464703177389335,0.023899765980394325,1,0.0038997659803943242
2024-04-30,EW,0.012502340782107206,0.10744681192007746,0,0.0
2024-04-30,GMV,0.3844454569025563,0.2276063009913846,0,0.0
2024-04-30,CtR-only,1.3846561128686224e-06,0.056662970779861425,0,0.0
2024-04-30,MDP,0.04879977454022279,0.002785949257487323,0,0.0
2024-04-30,CtB-only,0.04771212595555005,0.0024311916499666895,0,0.0
2024-04-30,Main,0.00435782912965754,0.023966645684752767,1,0.003966645684752766
2024-05-31,EW,0.012320924928294463,0.11036655420745478,0,0.0
2024-05-31,GMV,0.3994022455739401,0.2371326673311107,0,0.0
2024-05-31,CtR-only,1.9411562457434736e-06,0.06071159168282485,0,0.0
2024-05-31,MDP,0.04402336385846873,0.0029489135860885558,0,0.0
2024-05-31,CtB-only,0.046469475297461066,0.002552392846556993,0,0.0
2024-05-31,Main,0.004739906990806088,0.023913170815359513,1,0.003913170815359513
2024-06-28,EW,0.011656510368169611,0.1058360593411517,0,0.0
2024-06-28,GMV,0.40063213420274074,0.2284154042031996,0,0.0
2024-06-28,CtR-only,6.628167251503437e-07,0.06091294159167475,0,0.0
2024-06-28,MDP,0.045012537909593205,0.0019797812388906836,0,0.0
2024-06-28,CtB-only,0.04673642659082074,0.0017475019968028636,0,0.0
2024-06-28,Main,0.004579676706068822,0.0237081676597456,1,0.0037081676597456002
2024-07-31,EW,0.012170066743879545,0.10765188914994418,0,0.0
2024-07-31,GMV,0.40252037972668403,0.2306104554659642,0,0.0
2024-07-31,CtR-only,1.0114301297269856e-06,0.06030734178636429,0,0.0
2024-07-31,MDP,0.047560077242161596,0.0019896470792865207,0,0.0
2024-07-31,CtB-only,0.049269044560141736,0.0017553749947553509,0,0.0
2024-07-31,Main,0.004477177308209738,0.023700616057979126,1,0.0037006160579791253
2024-08-30,EW,0.01328732080946677,0.11334609089125057,0,0.0
2024-08-30,GMV,0.3869778141876205,0.22835531837769518,0,0.0
2024-08-30,CtR-only,2.641653138777703e-07,0.055695882475947915,0,0.0
2024-08-30,MDP,0.05166120801712333,0.001617059064970246,0,0.0
2024-08-30,CtB-only,0.05228866577270807,0.0014306119556030475,0,0.0
2024-08-30,Main,0.003835271821699611,0.023493561288892323,1,0.0034935612888923225
2024-09-30,EW,0.012569353577229301,0.10029967846338314,0,0.0
2024-09-30,GMV,0.3865616031920778,0.22918920347686986,0,0.0
2024-09-30,CtR-only,3.3442993114370266e-07,0.048852894824429394,0,0.0
2024-09-30,MDP,0.049047433131863764,0.001583845428182745,0,0.0
2024-09-30,CtB-only,0.05086337012547888,0.0013315416457609136,0,0.0
2024-09-30,Main,0.002908046666655603,0.023169874018566797,1,0.003169874018566797
2024-10-31,EW,0.012856385614196584,0.09951836319715934,0,0.0
2024-10-31,GMV,0.37547095212080434,0.2235589247008219,0,0.0
2024-10-31,CtR-only,4.693089683651316e-07,0.050304067000660854,0,0.0
2024-10-31,MDP,0.05427326279369588,0.0021480675952570125,0,0.0
2024-10-31,CtB-only,0.05455996211909177,0.0018715992596009226,0,0.0
2024-10-31,Main,0.003469624535798312,0.02373693620451682,1,0.00373693620451682
2024-11-29,EW,0.012841528229193946,0.08957748340717535,0,0.0
2024-11-29,GMV,0.3676385911443704,0.2252809867076377,0,0.0
2024-11-29,CtR-only,7.574640880626938e-07,0.04810955920016184,0,0.0
2024-11-29,MDP,0.05784610817656534,0.0030269535552331674,0,0.0
2024-11-29,CtB-only,0.055981818663662794,0.0026140032716642455,0,0.0
2024-11-29,Main,0.0037456821070829885,0.02459797728523492,1,0.004597977285234919
2024-12-31,EW,0.013828520629272981,0.10423420411589239,0,0.0
2024-12-31,GMV,0.3334895951747957,0.2302403501239714,0,0.0
2024-12-31,CtR-only,1.2549423823432595e-06,0.04990316696051055,0,0.0
2024-12-31,MDP,0.05603365352356368,0.002762422037667323,0,0.0
2024-12-31,CtB-only,0.054532193930581285,0.0023851399846744384,0,0.0
2024-12-31,Main,0.003956945332318881,0.02454686502704872,1,0.004546865027048718
2025-01-31,EW,0.014170582485845332,0.1106104958917832,0,0.0
2025-01-31,GMV,0.3206686890208808,0.23215861068955693,0,0.0
2025-01-31,CtR-only,8.256589469532955e-07,0.05247405475402186,0,0.0
2025-01-31,MDP,0.05387546745770026,0.0024773844355994814,0,0.0
2025-01-31,CtB-only,0.05344372538843373,0.002160174770418312,0,0.0
2025-01-31,Main,0.00428091946295041,0.02448274127849057,1,0.004482741278490569
2025-02-28,EW,0.014526290532128191,0.11572162888405897,0,0.0
2025-02-28,GMV,0.31103043325692514,0.24426108905919025,0,0.0
2025-02-28,CtR-only,1.3162258651739574e-06,0.04748352100058813,0,0.0
2025-02-28,MDP,0.0471306679123418,0.002052016372082383,0,0.0
2025-02-28,CtB-only,0.04762809167441869,0.0017437974438874629,0,0.0
2025-02-28,Main,0.003017526776759283,0.02349144304211299,1,0.0034914430421129905
2025-03-31,EW,0.01603262746729203,0.1353687464726315,0,0.0
2025-03-31,GMV,0.3112924614203473,0.2591230728648654,0,0.0
2025-03-31,CtR-only,1.627691464760826e-06,0.04139993446489424,0,0.0
2025-03-31,MDP,0.04196732562303266,0.001690801983411961,0,0.0
2025-03-31,CtB-only,0.04144886998140353,0.001416298415109394,0,0.0
2025-03-31,Main,0.0019358836167760597,0.022720954983707357,1,0.0027209549837073563
2025-04-30,EW,0.020015648020511298,0.26509385235326327,0,0.0
2025-04-30,GMV,0.16376332681226669,0.1954850965770258,0,0.0
2025-04-30,CtR-only,1.4603501368155355e-05,0.05019085884265807,0,0.0
2025-04-30,MDP,0.03294763017982235,0.0010663766240054762,0,0.0
2025-04-30,CtB-only,0.03484329356766941,0.0010202711145348296,0,0.0
2025-04-30,Main,0.0027635983474230377,0.02261683716947932,1,0.00261683716947932
2025-05-30,EW,0.02046154565598405,0.2691593447751728,0,0.0
2025-05-30,GMV,0.1548592229273765,0.18742064713164575,0,0.0
2025-05-30,CtR-only,8.723180692592218e-07,0.048738723962965115,0,0.0
2025-05-30,MDP,0.030404356287449315,0.0017568864025951396,0,0.0
2025-05-30,CtB-only,0.03163949273941219,0.0015373450916836284,0,0.0
2025-05-30,Main,0.00244317752418091,0.022535815564390965,1,0.002535815564390965
2025-06-30,EW,0.021259417923613216,0.2792161550319968,0,0.0
2025-06-30,GMV,0.14711169349434308,0.18833721265863845,0,0.0
2025-06-30,CtR-only,1.804037122631113e-07,0.050911336248181394,0,0.0
2025-06-30,MDP,0.028377889762756736,0.0016833233187882918,0,0.0
2025-06-30,CtB-only,0.029376416303722692,0.0014581827606026778,0,0.0
2025-06-30,Main,0.00253813836087418,0.02246224349753042,1,0.002462243497530419
2025-07-31,EW,0.021537129564220554,0.28347717319887916,0,0.0
2025-07-31,GMV,0.14024466896704058,0.1837174032682147,0,0.0
2025-07-31,CtR-only,5.7749064928625226e-08,0.05017818738473035,0,0.0
2025-07-31,MDP,0.028594149679208095,0.0011334158537729883,0,0.0
2025-07-31,CtB-only,0.029119167498018936,0.0009733652434680511,0,0.0
2025-07-31,Main,0.0023451495332737523,0.022294678366103767,1,0.0022946783661037667
2025-08-29,EW,0.020719233486030757,0.26758950533671655,0,0.0
2025-08-29,GMV,0.12668583305490866,0.16829565566059757,0,0.0
2025-08-29,CtR-only,2.310147520157471e-07,0.05286823261303224,0,0.0
2025-08-29,MDP,0.03012729552187235,0.001016179480738505,0,0.0
